RootToIca[ms], IcaToServer[ms], TotalTime[ms]
0.100000, 0.082000, 0.182000
0.099000, 0.086000, 0.185000
0.100000, 0.087000, 0.187000
0.101000, 0.111000, 0.212000
0.098000, 0.102000, 0.200000
0.099000, 0.100000, 0.199000
0.099000, 0.088000, 0.187000
0.100000, 0.088000, 0.188000
0.108000, 0.084000, 0.192000
0.101000, 0.088000, 0.189000
0.109000, 0.082000, 0.191000
0.100000, 0.098000, 0.198000
0.100000, 0.087000, 0.187000
0.126000, 0.084000, 0.210000
0.097000, 0.084000, 0.181000
0.120000, 0.171000, 0.291000
0.110000, 0.094000, 0.204000
0.107000, 0.095000, 0.202000
0.135000, 0.125000, 0.260000
0.135000, 0.117000, 0.252000
0.138000, 0.095000, 0.233000
0.139000, 0.087000, 0.226000
0.101000, 0.126000, 0.227000
0.110000, 0.097000, 0.207000
0.098000, 0.098000, 0.196000
0.099000, 0.082000, 0.181000
0.099000, 0.109000, 0.208000
0.100000, 0.092000, 0.192000
0.099000, 0.103000, 0.202000
0.101000, 0.098000, 0.199000
0.142000, 0.100000, 0.242000
0.099000, 0.083000, 0.182000
0.098000, 0.084000, 0.182000
0.106000, 0.083000, 0.189000
0.100000, 0.086000, 0.186000
0.098000, 0.081000, 0.179000
0.100000, 0.095000, 0.195000
0.115000, 0.081000, 0.196000
0.101000, 0.092000, 0.193000
0.100000, 0.117000, 0.217000
0.114000, 0.109000, 0.223000
0.099000, 0.083000, 0.182000
0.098000, 0.083000, 0.181000
0.098000, 0.083000, 0.181000
0.098000, 0.083000, 0.181000
0.100000, 0.102000, 0.202000
0.096000, 0.083000, 0.179000
0.108000, 0.082000, 0.190000
0.099000, 0.089000, 0.188000
0.103000, 0.086000, 0.189000
0.102000, 0.089000, 0.191000
0.100000, 0.119000, 0.219000
0.097000, 0.111000, 0.208000
0.100000, 0.086000, 0.186000
0.098000, 0.084000, 0.182000
0.105000, 0.089000, 0.194000
0.146000, 0.118000, 0.264000
0.126000, 0.099000, 0.225000
0.112000, 0.102000, 0.214000
0.137000, 0.088000, 0.225000
0.124000, 0.121000, 0.245000
0.162000, 0.087000, 0.249000
0.099000, 0.094000, 0.193000
0.127000, 0.131000, 0.258000
0.111000, 0.088000, 0.199000
0.104000, 0.085000, 0.189000
0.130000, 0.123000, 0.253000
0.141000, 0.087000, 0.228000
0.102000, 0.087000, 0.189000
0.129000, 0.085000, 0.214000
0.101000, 0.085000, 0.186000
0.100000, 0.095000, 0.195000
0.098000, 0.083000, 0.181000
0.097000, 0.085000, 0.182000
0.105000, 0.085000, 0.190000
0.098000, 0.085000, 0.183000
0.101000, 0.096000, 0.197000
0.098000, 0.113000, 0.211000
0.100000, 0.092000, 0.192000
0.215000, 0.096000, 0.311000
0.097000, 0.084000, 0.181000
0.109000, 0.110000, 0.219000
0.099000, 0.082000, 0.181000
0.096000, 0.085000, 0.181000
0.098000, 0.084000, 0.182000
0.101000, 0.087000, 0.188000
0.101000, 0.099000, 0.200000
0.121000, 0.099000, 0.220000
0.104000, 0.086000, 0.190000
0.107000, 0.083000, 0.190000
0.098000, 0.083000, 0.181000
0.121000, 0.091000, 0.212000
0.097000, 0.084000, 0.181000
0.097000, 0.086000, 0.183000
0.099000, 0.084000, 0.183000
0.104000, 0.125000, 0.229000
0.150000, 0.120000, 0.270000
0.145000, 0.105000, 0.250000
0.170000, 0.123000, 0.293000
0.119000, 0.089000, 0.208000
0.152000, 0.090000, 0.242000
0.109000, 0.094000, 0.203000
0.110000, 0.086000, 0.196000
0.099000, 0.086000, 0.185000
0.104000, 0.123000, 0.227000
0.120000, 0.092000, 0.212000
0.099000, 0.083000, 0.182000
0.123000, 0.082000, 0.205000
0.127000, 0.082000, 0.209000
0.101000, 0.084000, 0.185000
0.098000, 0.097000, 0.195000
0.109000, 0.082000, 0.191000
0.097000, 0.098000, 0.195000
0.098000, 0.100000, 0.198000
0.098000, 0.098000, 0.196000
0.100000, 0.086000, 0.186000
0.110000, 0.094000, 0.204000
0.140000, 0.086000, 0.226000
0.099000, 0.104000, 0.203000
0.099000, 0.091000, 0.190000
0.099000, 0.085000, 0.184000
0.108000, 0.085000, 0.193000
0.099000, 0.089000, 0.188000
0.108000, 0.089000, 0.197000
0.134000, 0.092000, 0.226000
0.118000, 0.103000, 0.221000
0.127000, 0.094000, 0.221000
0.126000, 0.102000, 0.228000
0.116000, 0.088000, 0.204000
0.100000, 0.090000, 0.190000
0.100000, 0.085000, 0.185000
0.101000, 0.086000, 0.187000
0.100000, 0.087000, 0.187000
0.108000, 0.112000, 0.220000
0.104000, 0.091000, 0.195000
0.147000, 0.154000, 0.301000
0.300000, 0.099000, 0.399000
0.128000, 0.092000, 0.220000
0.105000, 0.089000, 0.194000
0.109000, 0.087000, 0.196000
0.129000, 0.089000, 0.218000
0.115000, 0.093000, 0.208000
0.105000, 0.100000, 0.205000
0.102000, 0.111000, 0.213000
0.127000, 0.087000, 0.214000
0.118000, 0.091000, 0.209000
0.099000, 0.088000, 0.187000
0.106000, 0.114000, 0.220000
0.108000, 0.091000, 0.199000
0.102000, 0.103000, 0.205000
0.108000, 0.091000, 0.199000
0.102000, 0.090000, 0.192000
0.103000, 0.087000, 0.190000
0.112000, 0.094000, 0.206000
0.176000, 0.102000, 0.278000
0.106000, 0.086000, 0.192000
0.112000, 0.091000, 0.203000
0.101000, 0.084000, 0.185000
0.101000, 0.086000, 0.187000
0.101000, 0.100000, 0.201000
0.102000, 0.096000, 0.198000
0.111000, 0.086000, 0.197000
0.102000, 0.093000, 0.195000
0.102000, 0.102000, 0.204000
0.101000, 0.086000, 0.187000
0.099000, 0.085000, 0.184000
0.118000, 0.089000, 0.207000
0.100000, 0.085000, 0.185000
0.103000, 0.088000, 0.191000
0.106000, 0.085000, 0.191000
0.105000, 0.090000, 0.195000
0.106000, 0.099000, 0.205000
0.105000, 0.090000, 0.195000
0.161000, 0.102000, 0.263000
0.219000, 0.158000, 0.377000
0.205000, 0.127000, 0.332000
0.143000, 0.091000, 0.234000
0.105000, 0.089000, 0.194000
0.105000, 0.114000, 0.219000
0.105000, 0.089000, 0.194000
0.118000, 0.103000, 0.221000
0.103000, 0.086000, 0.189000
0.118000, 0.100000, 0.218000
0.100000, 0.093000, 0.193000
0.099000, 0.085000, 0.184000
0.102000, 0.083000, 0.185000
0.102000, 0.085000, 0.187000
0.103000, 0.115000, 0.218000
0.103000, 0.088000, 0.191000
0.103000, 0.088000, 0.191000
0.131000, 0.085000, 0.216000
0.102000, 0.085000, 0.187000
0.102000, 0.103000, 0.205000
0.100000, 0.102000, 0.202000
0.125000, 0.087000, 0.212000
0.102000, 0.089000, 0.191000
0.104000, 0.096000, 0.200000
0.104000, 0.089000, 0.193000
0.105000, 0.090000, 0.195000
0.106000, 0.089000, 0.195000
0.123000, 0.088000, 0.211000
0.119000, 0.087000, 0.206000
0.102000, 0.087000, 0.189000
0.101000, 0.089000, 0.190000
0.105000, 0.088000, 0.193000
0.103000, 0.089000, 0.192000
0.129000, 0.101000, 0.230000
0.107000, 0.091000, 0.198000
0.106000, 0.090000, 0.196000
0.107000, 0.134000, 0.241000
0.196000, 0.163000, 0.359000
0.128000, 0.104000, 0.232000
0.132000, 0.150000, 0.282000
0.122000, 0.117000, 0.239000
0.110000, 0.119000, 0.229000
0.108000, 0.095000, 0.203000
0.107000, 0.088000, 0.195000
0.157000, 0.094000, 0.251000
0.127000, 0.087000, 0.214000
0.103000, 0.088000, 0.191000
0.112000, 0.090000, 0.202000
0.101000, 0.085000, 0.186000
0.101000, 0.087000, 0.188000
0.106000, 0.090000, 0.196000
0.104000, 0.096000, 0.200000
0.115000, 0.088000, 0.203000
0.115000, 0.091000, 0.206000
0.112000, 0.112000, 0.224000
0.102000, 0.085000, 0.187000
0.101000, 0.087000, 0.188000
0.142000, 0.091000, 0.233000
0.101000, 0.087000, 0.188000
0.104000, 0.106000, 0.210000
0.102000, 0.100000, 0.202000
0.100000, 0.087000, 0.187000
0.102000, 0.090000, 0.192000
0.104000, 0.091000, 0.195000
0.127000, 0.098000, 0.225000
0.102000, 0.086000, 0.188000
0.102000, 0.099000, 0.201000
0.118000, 0.097000, 0.215000
0.104000, 0.091000, 0.195000
0.104000, 0.086000, 0.190000
0.125000, 0.090000, 0.215000
0.102000, 0.085000, 0.187000
0.105000, 0.091000, 0.196000
0.105000, 0.126000, 0.231000
0.105000, 0.090000, 0.195000
0.105000, 0.091000, 0.196000
0.112000, 0.088000, 0.200000
0.101000, 0.085000, 0.186000
0.119000, 0.113000, 0.232000
0.107000, 0.105000, 0.212000
0.104000, 0.090000, 0.194000
0.109000, 0.107000, 0.216000
0.121000, 0.086000, 0.207000
0.106000, 0.099000, 0.205000
0.102000, 0.085000, 0.187000
0.101000, 0.086000, 0.187000
0.102000, 0.097000, 0.199000
0.103000, 0.092000, 0.195000
0.104000, 0.094000, 0.198000
0.106000, 0.090000, 0.196000
0.104000, 0.090000, 0.194000
0.129000, 0.136000, 0.265000
0.114000, 0.090000, 0.204000
0.110000, 0.087000, 0.197000
0.100000, 0.087000, 0.187000
0.103000, 0.100000, 0.203000
0.104000, 0.087000, 0.191000
0.104000, 0.089000, 0.193000
0.129000, 0.104000, 0.233000
0.102000, 0.089000, 0.191000
0.138000, 0.107000, 0.245000
0.141000, 0.089000, 0.230000
0.107000, 0.101000, 0.208000
0.100000, 0.085000, 0.185000
0.099000, 0.100000, 0.199000
0.099000, 0.110000, 0.209000
0.099000, 0.086000, 0.185000
0.102000, 0.102000, 0.204000
0.125000, 0.086000, 0.211000
0.103000, 0.087000, 0.190000
0.125000, 0.090000, 0.215000
0.130000, 0.088000, 0.218000
0.100000, 0.096000, 0.196000
0.100000, 0.083000, 0.183000
0.100000, 0.085000, 0.185000
0.132000, 0.095000, 0.227000
0.104000, 0.088000, 0.192000
0.124000, 0.117000, 0.241000
0.120000, 0.087000, 0.207000
0.121000, 0.090000, 0.211000
0.102000, 0.192000, 0.294000
0.151000, 0.089000, 0.240000
0.101000, 0.087000, 0.188000
0.101000, 0.086000, 0.187000
0.102000, 0.085000, 0.187000
0.102000, 0.102000, 0.204000
0.121000, 0.087000, 0.208000
0.102000, 0.091000, 0.193000
0.102000, 0.092000, 0.194000
0.104000, 0.093000, 0.197000
0.118000, 0.114000, 0.232000
0.114000, 0.085000, 0.199000
0.101000, 0.087000, 0.188000
0.101000, 0.169000, 0.270000
0.102000, 0.097000, 0.199000
0.101000, 0.086000, 0.187000
0.102000, 0.087000, 0.189000
0.101000, 0.086000, 0.187000
0.104000, 0.096000, 0.200000
0.102000, 0.092000, 0.194000
0.135000, 0.084000, 0.219000
0.126000, 0.112000, 0.238000
0.112000, 0.089000, 0.201000
0.121000, 0.091000, 0.212000
0.102000, 0.085000, 0.187000
0.104000, 0.099000, 0.203000
0.101000, 0.088000, 0.189000
0.104000, 0.087000, 0.191000
0.104000, 0.086000, 0.190000
0.113000, 0.090000, 0.203000
0.109000, 0.093000, 0.202000
0.100000, 0.086000, 0.186000
0.099000, 0.092000, 0.191000
0.100000, 0.084000, 0.184000
0.099000, 0.083000, 0.182000
0.109000, 0.085000, 0.194000
0.116000, 0.110000, 0.226000
0.118000, 0.098000, 0.216000
0.110000, 0.111000, 0.221000
0.220000, 0.145000, 0.365000
0.103000, 0.086000, 0.189000
0.112000, 0.085000, 0.197000
0.102000, 0.087000, 0.189000
0.105000, 0.148000, 0.253000
0.110000, 0.087000, 0.197000
0.105000, 0.090000, 0.195000
0.103000, 0.090000, 0.193000
0.104000, 0.087000, 0.191000
0.209000, 0.167000, 0.376000
0.109000, 0.091000, 0.200000
0.138000, 0.099000, 0.237000
0.102000, 0.087000, 0.189000
0.102000, 0.096000, 0.198000
0.101000, 0.087000, 0.188000
0.105000, 0.090000, 0.195000
0.126000, 0.087000, 0.213000
0.105000, 0.090000, 0.195000
0.106000, 0.098000, 0.204000
0.107000, 0.091000, 0.198000
0.103000, 0.128000, 0.231000
0.101000, 0.085000, 0.186000
0.102000, 0.087000, 0.189000
0.101000, 0.084000, 0.185000
0.100000, 0.089000, 0.189000
0.102000, 0.098000, 0.200000
0.103000, 0.088000, 0.191000
0.104000, 0.095000, 0.199000
0.176000, 0.104000, 0.280000
0.106000, 0.094000, 0.200000
0.103000, 0.089000, 0.192000
0.101000, 0.084000, 0.185000
0.113000, 0.088000, 0.201000
0.101000, 0.084000, 0.185000
0.105000, 0.090000, 0.195000
0.103000, 0.115000, 0.218000
0.114000, 0.116000, 0.230000
0.114000, 0.223000, 0.337000
0.105000, 0.087000, 0.192000
0.135000, 0.093000, 0.228000
0.103000, 0.087000, 0.190000
0.103000, 0.089000, 0.192000
0.121000, 0.094000, 0.215000
0.099000, 0.096000, 0.195000
0.102000, 0.087000, 0.189000
0.106000, 0.090000, 0.196000
0.104000, 0.096000, 0.200000
0.104000, 0.087000, 0.191000
0.108000, 0.086000, 0.194000
0.132000, 0.091000, 0.223000
0.100000, 0.094000, 0.194000
0.103000, 0.086000, 0.189000
0.128000, 0.085000, 0.213000
0.102000, 0.105000, 0.207000
0.110000, 0.086000, 0.196000
0.112000, 0.088000, 0.200000
0.107000, 0.090000, 0.197000
0.142000, 0.086000, 0.228000
0.100000, 0.085000, 0.185000
0.108000, 0.086000, 0.194000
0.101000, 0.105000, 0.206000
0.105000, 0.124000, 0.229000
0.104000, 0.088000, 0.192000
0.101000, 0.087000, 0.188000
0.103000, 0.090000, 0.193000
0.104000, 0.090000, 0.194000
0.113000, 0.090000, 0.203000
0.102000, 0.088000, 0.190000
0.100000, 0.086000, 0.186000
0.102000, 0.104000, 0.206000
0.106000, 0.088000, 0.194000
0.101000, 0.097000, 0.198000
0.100000, 0.099000, 0.199000
0.103000, 0.087000, 0.190000
0.099000, 0.111000, 0.210000
0.103000, 0.090000, 0.193000
0.225000, 0.095000, 0.320000
0.111000, 0.086000, 0.197000
0.102000, 0.087000, 0.189000
0.118000, 0.094000, 0.212000
0.103000, 0.091000, 0.194000
0.118000, 0.128000, 0.246000
0.105000, 0.138000, 0.243000
0.211000, 0.118000, 0.329000
0.112000, 0.088000, 0.200000
0.105000, 0.112000, 0.217000
0.105000, 0.089000, 0.194000
0.114000, 0.104000, 0.218000
0.105000, 0.090000, 0.195000
0.112000, 0.086000, 0.198000
0.103000, 0.090000, 0.193000
0.104000, 0.091000, 0.195000
0.105000, 0.140000, 0.245000
0.106000, 0.098000, 0.204000
0.100000, 0.084000, 0.184000
0.102000, 0.084000, 0.186000
0.099000, 0.084000, 0.183000
0.111000, 0.085000, 0.196000
0.107000, 0.084000, 0.191000
0.103000, 0.089000, 0.192000
0.131000, 0.089000, 0.220000
0.102000, 0.092000, 0.194000
0.109000, 0.103000, 0.212000
0.105000, 0.090000, 0.195000
0.112000, 0.087000, 0.199000
0.102000, 0.086000, 0.188000
0.104000, 0.089000, 0.193000
0.102000, 0.085000, 0.187000
0.105000, 0.090000, 0.195000
0.154000, 0.102000, 0.256000
0.104000, 0.088000, 0.192000
0.136000, 0.108000, 0.244000
0.105000, 0.103000, 0.208000
0.104000, 0.085000, 0.189000
0.106000, 0.090000, 0.196000
0.119000, 0.086000, 0.205000
0.104000, 0.086000, 0.190000
0.102000, 0.126000, 0.228000
0.106000, 0.100000, 0.206000
0.102000, 0.102000, 0.204000
0.105000, 0.113000, 0.218000
0.104000, 0.107000, 0.211000
0.115000, 0.103000, 0.218000
0.104000, 0.087000, 0.191000
0.104000, 0.086000, 0.190000
0.101000, 0.086000, 0.187000
0.102000, 0.094000, 0.196000
0.100000, 0.088000, 0.188000
0.106000, 0.093000, 0.199000
0.118000, 0.091000, 0.209000
0.106000, 0.091000, 0.197000
0.117000, 0.087000, 0.204000
0.101000, 0.086000, 0.187000
0.101000, 0.088000, 0.189000
0.106000, 0.087000, 0.193000
0.101000, 0.088000, 0.189000
0.101000, 0.095000, 0.196000
0.101000, 0.097000, 0.198000
0.103000, 0.092000, 0.195000
0.122000, 0.100000, 0.222000
0.124000, 0.098000, 0.222000
0.104000, 0.087000, 0.191000
0.099000, 0.086000, 0.185000
0.100000, 0.093000, 0.193000
0.099000, 0.085000, 0.184000
0.102000, 0.104000, 0.206000
0.112000, 0.107000, 0.219000
0.102000, 0.088000, 0.190000
0.102000, 0.093000, 0.195000
0.103000, 0.089000, 0.192000
0.137000, 0.112000, 0.249000
0.102000, 0.087000, 0.189000
0.103000, 0.107000, 0.210000
0.106000, 0.112000, 0.218000
0.123000, 0.153000, 0.276000
0.110000, 0.090000, 0.200000
0.194000, 0.113000, 0.307000
0.106000, 0.090000, 0.196000
0.150000, 0.089000, 0.239000
0.105000, 0.099000, 0.204000
0.124000, 0.089000, 0.213000
0.101000, 0.088000, 0.189000
0.102000, 0.089000, 0.191000
0.105000, 0.090000, 0.195000
0.122000, 0.097000, 0.219000
0.101000, 0.089000, 0.190000
0.102000, 0.103000, 0.205000
0.103000, 0.093000, 0.196000
0.100000, 0.086000, 0.186000
0.107000, 0.088000, 0.195000
0.104000, 0.088000, 0.192000
0.100000, 0.099000, 0.199000
0.099000, 0.085000, 0.184000
0.104000, 0.088000, 0.192000
0.112000, 0.091000, 0.203000
0.105000, 0.086000, 0.191000
0.111000, 0.152000, 0.263000
0.106000, 0.112000, 0.218000
0.100000, 0.106000, 0.206000
0.100000, 0.087000, 0.187000
0.099000, 0.089000, 0.188000
0.100000, 0.089000, 0.189000
0.100000, 0.089000, 0.189000
0.103000, 0.106000, 0.209000
0.103000, 0.096000, 0.199000
0.104000, 0.098000, 0.202000
0.107000, 0.109000, 0.216000
0.114000, 0.092000, 0.206000
0.101000, 0.094000, 0.195000
0.099000, 0.083000, 0.182000
0.113000, 0.133000, 0.246000
0.104000, 0.111000, 0.215000
0.119000, 0.090000, 0.209000
0.106000, 0.116000, 0.222000
0.153000, 0.198000, 0.351000
0.107000, 0.094000, 0.201000
0.108000, 0.087000, 0.195000
0.101000, 0.087000, 0.188000
0.333000, 0.103000, 0.436000
0.106000, 0.098000, 0.204000
0.108000, 0.086000, 0.194000
0.106000, 0.087000, 0.193000
0.115000, 0.089000, 0.204000
0.126000, 0.104000, 0.230000
0.115000, 0.084000, 0.199000
0.100000, 0.086000, 0.186000
0.099000, 0.085000, 0.184000
0.100000, 0.085000, 0.185000
0.109000, 0.086000, 0.195000
0.101000, 0.094000, 0.195000
0.126000, 0.088000, 0.214000
0.102000, 0.087000, 0.189000
0.104000, 0.088000, 0.192000
0.118000, 0.087000, 0.205000
0.108000, 0.108000, 0.216000
0.105000, 0.091000, 0.196000
0.104000, 0.090000, 0.194000
0.100000, 0.087000, 0.187000
0.100000, 0.090000, 0.190000
0.104000, 0.124000, 0.228000
0.104000, 0.089000, 0.193000
0.105000, 0.089000, 0.194000
0.113000, 0.102000, 0.215000
0.116000, 0.135000, 0.251000
0.102000, 0.097000, 0.199000
0.099000, 0.098000, 0.197000
0.101000, 0.096000, 0.197000
0.099000, 0.087000, 0.186000
0.112000, 0.093000, 0.205000
0.129000, 0.088000, 0.217000
0.140000, 0.103000, 0.243000
0.113000, 0.124000, 0.237000
0.167000, 0.138000, 0.305000
0.151000, 0.138000, 0.289000
0.140000, 0.149000, 0.289000
0.145000, 0.162000, 0.307000
0.114000, 0.086000, 0.200000
0.101000, 0.085000, 0.186000
0.099000, 0.086000, 0.185000
0.098000, 0.092000, 0.190000
0.098000, 0.083000, 0.181000
0.099000, 0.086000, 0.185000
0.097000, 0.084000, 0.181000
0.126000, 0.086000, 0.212000
0.101000, 0.087000, 0.188000
0.104000, 0.088000, 0.192000
0.105000, 0.087000, 0.192000
0.105000, 0.087000, 0.192000
0.102000, 0.092000, 0.194000
0.108000, 0.093000, 0.201000
0.097000, 0.082000, 0.179000
0.100000, 0.087000, 0.187000
0.098000, 0.084000, 0.182000
0.100000, 0.085000, 0.185000
0.111000, 0.086000, 0.197000
0.100000, 0.097000, 0.197000
0.106000, 0.095000, 0.201000
0.101000, 0.084000, 0.185000
0.098000, 0.082000, 0.180000
0.110000, 0.083000, 0.193000
0.097000, 0.091000, 0.188000
0.103000, 0.097000, 0.200000
0.098000, 0.082000, 0.180000
0.100000, 0.112000, 0.212000
0.110000, 0.112000, 0.222000
0.107000, 0.094000, 0.201000
0.194000, 0.123000, 0.317000
0.151000, 0.124000, 0.275000
0.173000, 0.144000, 0.317000
0.152000, 0.096000, 0.248000
0.115000, 0.084000, 0.199000
0.110000, 0.088000, 0.198000
0.253000, 0.086000, 0.339000
0.111000, 0.089000, 0.200000
0.104000, 0.090000, 0.194000
0.101000, 0.092000, 0.193000
0.099000, 0.087000, 0.186000
0.103000, 0.088000, 0.191000
0.111000, 0.101000, 0.212000
0.103000, 0.094000, 0.197000
0.100000, 0.086000, 0.186000
0.106000, 0.112000, 0.218000
0.099000, 0.085000, 0.184000
0.107000, 0.107000, 0.214000
0.120000, 0.089000, 0.209000
0.107000, 0.093000, 0.200000
0.106000, 0.086000, 0.192000
0.123000, 0.088000, 0.211000
0.138000, 0.112000, 0.250000
0.109000, 0.097000, 0.206000
0.107000, 0.091000, 0.198000
0.127000, 0.088000, 0.215000
0.099000, 0.095000, 0.194000
0.100000, 0.090000, 0.190000
0.099000, 0.082000, 0.181000
0.101000, 0.086000, 0.187000
0.100000, 0.092000, 0.192000
0.101000, 0.086000, 0.187000
0.107000, 0.110000, 0.217000
0.099000, 0.139000, 0.238000
0.126000, 0.087000, 0.213000
0.176000, 0.095000, 0.271000
0.133000, 0.117000, 0.250000
0.111000, 0.094000, 0.205000
0.100000, 0.088000, 0.188000
0.112000, 0.086000, 0.198000
0.113000, 0.086000, 0.199000
0.101000, 0.086000, 0.187000
0.101000, 0.114000, 0.215000
0.125000, 0.111000, 0.236000
0.097000, 0.106000, 0.203000
0.101000, 0.107000, 0.208000
0.100000, 0.087000, 0.187000
0.100000, 0.087000, 0.187000
0.134000, 0.124000, 0.258000
0.100000, 0.087000, 0.187000
0.104000, 0.136000, 0.240000
0.101000, 0.088000, 0.189000
0.131000, 0.095000, 0.226000
0.101000, 0.084000, 0.185000
0.100000, 0.088000, 0.188000
0.115000, 0.093000, 0.208000
0.099000, 0.093000, 0.192000
0.102000, 0.088000, 0.190000
0.111000, 0.088000, 0.199000
0.105000, 0.089000, 0.194000
0.102000, 0.099000, 0.201000
0.104000, 0.105000, 0.209000
0.127000, 0.119000, 0.246000
0.098000, 0.097000, 0.195000
0.100000, 0.104000, 0.204000
0.114000, 0.113000, 0.227000
0.101000, 0.092000, 0.193000
0.104000, 0.084000, 0.188000
0.100000, 0.086000, 0.186000
0.100000, 0.095000, 0.195000
0.101000, 0.087000, 0.188000
0.100000, 0.104000, 0.204000
0.105000, 0.094000, 0.199000
0.100000, 0.083000, 0.183000
0.132000, 0.092000, 0.224000
0.104000, 0.089000, 0.193000
0.124000, 0.112000, 0.236000
0.102000, 0.110000, 0.212000
0.100000, 0.085000, 0.185000
0.107000, 0.095000, 0.202000
0.110000, 0.113000, 0.223000
0.097000, 0.084000, 0.181000
0.099000, 0.099000, 0.198000
0.119000, 0.087000, 0.206000
0.100000, 0.098000, 0.198000
0.100000, 0.086000, 0.186000
0.099000, 0.106000, 0.205000
0.101000, 0.099000, 0.200000
0.103000, 0.087000, 0.190000
0.111000, 0.111000, 0.222000
0.151000, 0.134000, 0.285000
0.146000, 0.125000, 0.271000
0.155000, 0.121000, 0.276000
0.146000, 0.131000, 0.277000
0.149000, 0.128000, 0.277000
0.141000, 0.122000, 0.263000
0.158000, 0.168000, 0.326000
0.146000, 0.102000, 0.248000
0.101000, 0.096000, 0.197000
0.099000, 0.103000, 0.202000
0.102000, 0.086000, 0.188000
0.099000, 0.083000, 0.182000
0.099000, 0.083000, 0.182000
0.102000, 0.084000, 0.186000
0.100000, 0.085000, 0.185000
0.102000, 0.087000, 0.189000
0.098000, 0.081000, 0.179000
0.174000, 0.115000, 0.289000
0.115000, 0.131000, 0.246000
0.114000, 0.103000, 0.217000
0.113000, 0.139000, 0.252000
0.137000, 0.106000, 0.243000
0.105000, 0.096000, 0.201000
0.107000, 0.085000, 0.192000
0.104000, 0.092000, 0.196000
0.121000, 0.097000, 0.218000
0.100000, 0.087000, 0.187000
0.108000, 0.082000, 0.190000
0.102000, 0.090000, 0.192000
0.106000, 0.102000, 0.208000
0.114000, 0.083000, 0.197000
0.101000, 0.083000, 0.184000
0.100000, 0.096000, 0.196000
0.100000, 0.083000, 0.183000
0.100000, 0.093000, 0.193000
0.098000, 0.083000, 0.181000
0.101000, 0.085000, 0.186000
0.109000, 0.088000, 0.197000
0.105000, 0.086000, 0.191000
0.100000, 0.086000, 0.186000
0.103000, 0.083000, 0.186000
0.099000, 0.086000, 0.185000
0.102000, 0.095000, 0.197000
0.121000, 0.089000, 0.210000
0.101000, 0.106000, 0.207000
0.098000, 0.090000, 0.188000
0.097000, 0.086000, 0.183000
0.102000, 0.099000, 0.201000
0.100000, 0.097000, 0.197000
0.100000, 0.096000, 0.196000
0.108000, 0.096000, 0.204000
0.097000, 0.086000, 0.183000
0.101000, 0.096000, 0.197000
0.101000, 0.087000, 0.188000
0.100000, 0.125000, 0.225000
0.106000, 0.083000, 0.189000
0.099000, 0.081000, 0.180000
0.098000, 0.089000, 0.187000
0.097000, 0.109000, 0.206000
0.123000, 0.101000, 0.224000
